index,anon_id,year,bulk_density,sand,silt,clay,slaking_index,om_perc,ph,p_lb_a,cec_meq_100g,ca_lb_a,mg_lb_a,k_lb_a,zn_ppm,fe_ppm,mn_ppm,cu_ppm,b_ppm,so4_ppm,total_plfa_nmol_p_g_soil,am_fungi,gram_negative,eukaryote,fungi,gram_positive,actinomycetes
30,D,2022,1.313728268,30,57.5,12.5,0.8323,5.1,5.3,54,11.9,2425,150,128,1.1,50.3,27.7,1.27,0.36,3.207,175.102,7.104,63.513,2.82,2.754,34.892,22.259
90,D,2023,1.313728268,30,57.5,12.5,0.43,4.8,5.4,33,12.6,2593,110,136,0.9,58.4,32.9,0.96,0.55,2.222,142.431,5.308,47.357,3.441,1.801,29.346,19.717
31,A,2022,1.456415095,22.5,65,12.5,0.42989,5.2,6.8,22,10.2,3784,130,127,0.9,28.2,12.7,0.59,0.62,2.882,167.289,7.085,59.709,6.322,2.542,32.735,21.513
91,A,2023,1.456415095,22.5,65,12.5,0.35,6.6,6.4,20,14.3,4650,201,292,1.7,67,29.2,0.83,0.75,2.965,209.85,9.576,81.191,4.718,2.008,38.006,26.447
32,A,2022,1.206556571,22.5,67.5,10,0.65075,5.1,6.1,25,12.1,3571,128,103,0.6,25.4,14.1,0.7,0.31,2.496,128.652,5.07,46.118,1.596,1.526,26.264,18.86
92,A,2023,1.206556571,22.5,67.5,10,0.28,6.3,6.1,41,16.8,4864,210,192,1,60.9,38.6,0.83,0.55,2.718,196.518,8.037,69.87,3.006,2.024,40.36,26.682
33,A,2022,1.269260671,22.5,65,12.5,0.55253,5.4,6.2,17,11.8,3843,126,105,1.1,33.7,13.8,0.75,0.67,2.78,192.826,6.615,58.808,29.021,3.585,34.255,21.359
93,A,2023,1.269260671,22.5,65,12.5,0.25,6,6.2,27,15.2,4430,204,247,1.5,72.8,35.7,1.04,0.69,2.989,220.359,9.94,78.129,3.627,2.832,46.695,29.342
34,B,2022,1.10653211,22.5,67.5,10,0.58676,5.4,5.7,32,11.9,2899,131,86,1,35.1,15.3,0.83,0.64,2.948,136.788,5.524,47.692,1.849,1.164,28.04,20.834
94,B,2023,1.10653211,22.5,67.5,10,0.37,6.4,5.8,43,15.4,3734,202,173,1.7,53.7,26.9,0.87,0.72,3.242,223.915,10.051,82.386,3.295,2.255,44.828,28.51
35,B,2022,0.839284435,27.5,65,7.5,0.27815,5,5.6,20,11.4,2895,139,100,0.9,38,17.2,0.73,0.65,4.215,161.406,6.486,58.251,3.267,1.875,32.87,22.733
95,B,2023,0.839284435,27.5,65,7.5,0.25,6.2,5.6,26,14.5,3360,211,193,1.2,59.8,32.6,0.81,0.66,3.315,238.428,9.497,81.211,14.654,3.073,46.02,28.738
36,B,2022,1.205709218,22.5,65,12.5,0.31903,4.7,5.5,30,11.6,2733,142,119,1,49,14.7,0.78,0.66,6.786,147.533,6.229,54.05,2.892,1.532,29.336,20.372
96,B,2023,1.205709218,22.5,65,12.5,0.25,6.6,5.5,30,15.9,3454,235,200,1,79.5,22.7,1,0.97,3.822,240.539,10.308,84.899,4.227,4.458,47.449,28.134
37,M,2022,1.200256688,20,72.5,7.5,1.93619,3,5.6,4,10.2,2690,216,85,0.4,58,9,0.4,0.51,3.545,76.126,3.192,25.153,0.691,1.36,16.239,10.181
97,M,2023,1.200256688,20,72.5,7.5,0.24,5,5.6,10,12.8,3017,372,197,0.9,94.5,15.8,0.61,1.34,2.441,219.479,9.42,72.579,6.028,3.31,47.154,26.177
38,M,2022,1.153910179,15,72.5,12.5,0.99335,3.8,5.6,4,9.9,2538,216,94,0.4,66.4,10.9,0.45,0.79,1.911,116.323,5.117,38.444,4.008,2.823,23.844,14.063
98,M,2023,1.153910179,15,72.5,12.5,0.34,3.9,5.5,3,13.3,3311,333,134,0.6,85.2,16.2,0.6,1.3,1.629,144.689,5.647,42.282,2.868,3.598,32.315,18.582
39,M,2022,1.156562761,25,65,10,1.10234,2.9,5.7,3,11.4,3053,267,150,0.3,48.1,7.8,0.51,0.68,2.229,90.053,3.533,28.612,1.012,1.545,20.095,12.309
99,M,2023,1.156562761,25,65,10,0.24,5.1,5.7,4,13.7,3608,370,137,0.9,100.4,22.7,0.74,0.8,1.81,175.499,7.285,55.357,3.058,2.331,39.603,23.153
40,H,2022,1.265797577,25,65,10,1.25696,3.5,5.2,69,9.7,1453,256,767,1.7,87.1,42.6,2.21,0.87,4.259,120.124,4.796,40.815,3.878,1.571,25.237,14.488
100,H,2023,1.265797577,25,65,10,0.58,5,5.6,68,10.3,1747,291,537,2.6,102.5,39.9,2.75,0.86,3.522,168.149,6.017,54.347,5.454,1.393,38.035,23.381
41,H,2022,1.348469728,20,70,10,1.19697,3.8,5.2,72,9.8,1448,279,788,2,92.7,45.3,2.26,1.12,4.359,126.938,4.782,42.53,2.403,1.735,27.443,15.701
101,H,2023,1.348469728,20,70,10,0.36,5.5,5.3,124,13,1876,383,980,3.1,131.9,35.2,2.57,3.03,3.83,190.202,5.569,59.092,3.915,2.46,37.245,21.474
42,H,2022,1.215914292,25,65,10,1.51536,3.2,5.5,44,9,1632,234,775,1.9,76.8,38.1,1.82,1.13,4.34,92.536,3.176,31.024,1.289,0.827,20.064,12.137
102,H,2023,1.215914292,25,65,10,0.45,4.7,5.8,78,13.4,2931,420,679,3.2,101.6,45.8,3.1,2.01,3.711,198.232,7.376,63.623,3.907,3.147,42.716,27.775
43,Q,2022,0.995004456,,,,0.9472,3.4,6.6,25,8.7,2436,433,212,1,21.1,19.9,0.32,0.53,NA,100.1,4.534,32.296,1.766,1.72,21.473,15.032
44,Q,2022,0.995004456,,,,0.85299,3.4,6.3,38,8,2168,332,164,0.7,21.3,29.1,0.31,0.8,NA,134.287,5.979,45.475,2.406,1.781,28.516,19.977
45,Q,2022,0.995004456,,,,0.79038,3.8,6.6,47,9.7,3140,270,168,0.8,27.8,23.5,0.31,0.95,NA,158.893,7.686,55.469,2.866,2.993,33.849,22.67
46,R,2022,1.426536702,42.5,47.5,10,1.08401,4.1,4.7,22,10.7,1252,135,386,2.9,80.5,34.7,0.32,0.76,2.756,97.403,3.161,30.581,1.456,3.85,20.295,10.154
103,R,2023,1.426536702,42.5,47.5,10,0.48,3.6,5.1,41,11,1669,185,457,2.5,102.1,20.2,0.5,0.84,1.869,108.92,3.272,35.753,1.981,1.979,23.405,11.278
47,R,2022,1.558060578,37.5,55,7.5,1.46891,2.6,4.5,14,9.1,933,92,287,2.3,66.4,27.5,0.31,0.26,1.576,67.587,2.579,21.739,1.067,1.352,14.694,7.875
104,R,2023,1.558060578,37.5,55,7.5,0.89,3.6,4.7,15,11.4,1197,121,289,3.3,93.9,36.2,0.45,0.36,1.427,94.736,3.235,29.241,1.96,1.718,20.371,10.656
48,R,2022,1.332775283,42.5,50,7.5,1.12242,3.2,4.5,22,11.3,1250,135,486,3.8,69,39.4,0.26,0.75,2.437,74.194,2.347,24.665,1.057,2.664,14.784,8.079
105,R,2023,1.332775283,42.5,50,7.5,0.4,3.7,4.7,32,12.5,1497,182,367,2.8,92.2,35.3,0.32,0.63,2.15,89.903,2.875,26.52,2.429,3.491,18.465,8.47
49,G,2022,1.468059818,30,60,10,1.48798,3.5,5.7,6,9.1,1608,171,286,0.4,35.4,6.8,0.24,0.13,2.962,127.794,4.259,39.266,5.4,2.45,25.168,15.732
106,G,2023,1.468059818,30,60,10,0.55,4.5,5.8,4,10.7,2470,169,270,0.5,55.7,15.7,0.41,0.21,3.604,168.58,7.321,58.528,3.699,3.222,32.477,19.301
50,G,2022,1.168327615,35,55,10,1.30794,4.2,5.3,8,9.2,1420,166,380,0.5,37.9,12.7,0.28,0.27,3.156,114.689,4.312,40.174,1.62,1.099,23.347,15.209
107,G,2023,1.168327615,35,55,10,0.43,4.9,6,11,9.4,2111,162,321,0.5,47.5,14,0.33,0.5,3.174,150.784,5.767,49.942,7.944,2.285,28.351,18.266
51,G,2022,1.13788416,32.5,57.5,10,1.21364,4.2,5.5,6,8.9,1523,165,352,0.5,40.3,9.6,0.28,0.26,3.424,114.849,4.246,38.97,1.683,1.224,24.616,15.854
108,G,2023,1.13788416,32.5,57.5,10,0.26,5.9,6.2,10,10.5,2664,232,306,1,53.4,21,0.46,0.61,3.468,233.951,9.495,82.206,5.472,2.562,44.983,27.908
